Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Mississippi

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
HELE4,,×Hesperotropsis leylandii (A.B. Jacks. & Dallim.) Garland & Gerry Moore [Hesperocyparis macrocarpa × Callitropsis nootkatensis],Leyland cypress
HELE4,CULE2,×Cupressocyparis leylandii (Dallim. & A.B. Jacks.) Dallim.,
AEPA,,Aesculus pavia L.,red buckeye
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALJU,,Albizia julibrissin Durazz.,silktree
ALGL2,,Alnus glutinosa (L.) Gaertn.,European alder
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ARDO4,,Arundo donax L.,giant reed
CAMO83,,Castanea mollissima Blume,Chinese chestnut
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUFO5,,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
GIBI2,,Ginkgo biloba L.,maidenhair tree
LAIN,,Lagerstroemia indica L.,crapemyrtle
LIJA,,Ligustrum japonicum Thunb.,Japanese privet
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MAES,,Manihot esculenta Crantz,cassava
MEAZ,,Melia azedarach L.,Chinaberrytree
MOAL,,Morus alba L.,white mulberry
NADO,,Nandina domestica Thunb.,sacred bamboo
NEOL,,Nerium oleander L.,oleander
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
PINI,,Pinus nigra Arnold,Austrian pine
PIVI2,,Pinus virginiana Mill.,Virginia pine
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
QUAC80,,Quercus acutissima Carruthers,sawtooth oak
ROPS,,Robinia pseudoacacia L.,black locust
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SPPR,,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
TIAM,,Tilia americana L.,American basswood
TIAMH,,Tilia americana L. var. heterophylla (Vent.) Loudon,American basswood
