Search type: Characteristics
Shrub|Tree|Native - L48|Kansas

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACNE2,,Acer negundo L.,boxelder
ACNI5,,Acer nigrum Michx. f.,black maple
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
AEGL,,Aesculus glabra Willd.,Ohio buckeye
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMFR,,Amorpha fruticosa L.,false indigo bush
ARGI,,Arundinaria gigantea (Walter) Muhl.,giant cane
ASTR,,Asimina triloba (L.) Dunal,pawpaw
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
BENI,,Betula nigra L.,river birch
BEPU4,,Betula pumila L.,bog birch
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory
CAIL2,,Carya illinoinensis (Wangenh.) K. Koch,pecan
CALA21,,Carya laciniosa (Michx. f.) G. Don,shellbark hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CATO6,,Carya tomentosa (Lam.) Nutt.,mockernut hickory
CATO6,CAAL27,"Carya alba (L.) Nutt., nom. utique rej.",
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEAM,,Ceanothus americanus L.,New Jersey tea
CELA,,Celtis laevigata Willd.,sugarberry
CELAR,,Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson,netleaf hackberry
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CECA4,,Cercis canadensis L.,eastern redbud
CEMO2,,Cercocarpus montanus Raf.,alderleaf mountain mahogany
CHLI2,,Chilopsis linearis (Cav.) Sweet,desert willow
CODR,,Cornus drummondii C.A. Mey.,roughleaf dogwood
COFL2,,Cornus florida L.,flowering dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COAM3,,Corylus americana Walter,American hazelnut
CRCR2,,Crataegus crus-galli L.,cockspur hawthorn
CRVI2,,Crataegus viridis L.,green hawthorn
DIVI5,,Diospyros virginiana L.,common persimmon
ERNAN5,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,rubber rabbitbrush
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FOAC,,Forestiera acuminata (Michx.) Poir.,eastern swampprivet
FRAM2,,Fraxinus americana L.,white ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
GLTR,,Gleditsia triacanthos L.,honeylocust
GUSA2,,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
ILDE,,Ilex decidua Walter,possumhaw
JUMI,,Juglans microcarpa Berl.,little walnut
JUNI,,Juglans nigra L.,black walnut
JUMO,,Juniperus monosperma (Engelm.) Sarg.,oneseed juniper
JUSC2,,Juniperus scopulorum Sarg.,Rocky Mountain juniper
JUVI,,Juniperus virginiana L.,eastern redcedar
KRLA2,,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
LIBE3,,Lindera benzoin (L.) Blume,northern spicebush
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MAIO,,Malus ioensis (Alph. Wood) Britton,prairie crab apple
MORU2,,Morus rubra L.,red mulberry
NYSY,,Nyssa sylvatica Marshall,blackgum
OPPO,,Opuntia polyacantha Haw.,plains pricklypear
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHOP,,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark
PLOC,,Platanus occidentalis L.,American sycamore
POCA19,,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],Carolina poplar
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
PODEM,,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood
PRGLG,,Prosopis glandulosa Torr. var. glandulosa,honey mesquite
PRAM,,Prunus americana Marshall,American plum
PRAN3,,Prunus angustifolia Marshall,Chickasaw plum
PRPU3,,Prunus pumila L.,sandcherry
PRPUB,,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,western sandcherry
PRSE2,,Prunus serotina Ehrh.,black cherry
PRVI,,Prunus virginiana L.,chokecherry
PTTR,,Ptelea trifoliata L.,common hoptree
QUAL,,Quercus alba L.,white oak
QUIM,,Quercus imbricaria Michx.,shingle oak
QUMA2,,Quercus macrocarpa Michx.,bur oak
QUMA3,,Quercus marilandica Münchh.,blackjack oak
QUMU,,Quercus muehlenbergii Engelm.,chinquapin oak
QUPA2,,Quercus palustris Münchh.,pin oak
QURU,,Quercus rubra L.,northern red oak
